YEAR,REP_PV,DEM_PV,OTH_PV,REP_EV,DEM_EV,OTH_EV,SUM_PV,SUM_EV,DIF_DM_RP_PV,DIF_DM_RP_PV,WINNER,Person,Loser,Notes
1940,22347744,27313945,0,82,449,0,49661689,531,4966201,367,DEM,FD Roosevelt,W Willkie,
1944,22017929,25612916,0,99,432,0,47630845,531,3594987,333,DEM,FD Roosevelt,Dewey,
1948,21991292,24179347,1175930,189,303,39,47346569,531,2188055,114,DEM,Truman,Dewey,Stom Thurmand: Dixiecrat
1952,34075529,27375090,0,442,89,0,61450619,531,-6700439,-353,REP,Eisenhower,Stevenson,
1956,35579180,26028028,0,457,73,0,61607208,530,-9551152,-384,REP,Eisenhower,Stevenson,
1960,34108157,34220984,0,219,303,0,68329141,522,112827,84,DEM,JF Kennedy,Nixon,
1964,27175754,43127041,0,52,486,0,70302795,538,15951287,434,DEM,LB Johnson,Goldwater,
1968,31783783,31271839,9901118,301,191,46,72956740,538,-511944,-110,REP,Nixon,Humphrey,George Wallace: Independent
1972,47168710,29173222,0,520,17,0,76341932,537,-17995488,-503,REP,Nixon,McGovern,
1976,39148634,40831881,0,240,297,0,79980515,537,1683247,57,DEM,J Carter,Ford,
1980,43903230,35480115,5719850,489,49,0,85103195,538,-8423115,-440,REP,R Reagan,J Carter,JB Anderson: Independent
1984,54455472,37577352,0,525,13,0,92032824,538,-16878120,-512,REP,R Reagan,W Mondale,
1988,48886597,41809074,0,426,111,0,90695671,537,-7077523,-315,REP,GHW Bush,M Dukakis,
1992,39104550,44909889,19743821,168,370,0,103758260,538,5805339,202,DEM,B Clinton,GHW Bush,Ross Perot: Independent
1996,47401185,39197469,8085294,159,379,0,94683948,538,-8203716,220,DEM,B Clinton,B Dole,
2000,50456002,50999897,0,271,266,0,101455899,537,543895,-5,REP,GW Bush,Al Gore,
2004,62040610,59028444,0,286,251,0,121069054,537,-3012166,-35,REP,GW Bush,J Kerry,
2008,59948323,69498516,0,173,365,0,129446839,538,9550193,192,DEM,Obama,J McCain,
2012,60933504,65915795,0,206,332,0,126849299,538,4982291,-126,DEM,Obama,M Romney,
2016,62984828,65853514,0,304,227,0,128838342,531,2868686,-77,REP,D Trump,H Clinton,7 no faith
2020,73768688,79794851,0,232,306,0,153563539,538,6026163,74,DEM,J Biden,D Trump,
